User_ID,Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests
162,45-54,Male,Suburban,Hindi,PhD,726,68,Tablet,1.1,6.5,0.008,0.087,114,40k-60k,"Pet Care, Software Engineering"
163,45-54,Female,Urban,Mandarin,Bachelor,5114,466,Tablet,2.4,7.5,0.043,0.037,12,100k+,Gourmet Cooking
164,35-44,Female,Suburban,English,High School,1475,333,Tablet,3.9,2.4,0.158,0.007,73,80k-100k,"Digital Marketing, Fitness and Wellness, Fashion Modelling, Music Production"
165,18-24,Female,Urban,Spanish,Master,1281,208,Mobile Only,4.6,7.7,0.105,0.089,67,60k-80k,"Digital Marketing, Music Production, Gaming"
166,55-64,Female,Urban,Spanish,Master,5808,224,Mobile + Desktop,3.5,2,0.127,0.089,72,40k-60k,"Data Science, DIY Crafts, Reading and Literature"
167,25-34,Female,Urban,Hindi,PhD,590,395,Desktop Only,1,4.6,0.016,0.085,148,20k-40k,Fashion Modelling
168,25-34,Female,Urban,Mandarin,Master,3829,58,Mobile + Desktop,3.5,6.8,0.209,0.085,156,20k-40k,DIY Crafts
169,18-24,Male,Urban,Hindi,Bachelor,6074,481,Tablet,3.4,3.4,0.196,0.048,10,80k-100k,Investing and Finance
170,35-44,Female,Urban,Mandarin,High School,3634,241,Mobile + Desktop,4.1,4,0.046,0.018,123,80k-100k,"Gourmet Cooking, Travel and Adventure, Gardening, Gaming"
171,45-54,Female,Urban,English,Bachelor,3396,256,Mobile Only,4.2,1.9,0.159,0.048,61,0-20k,"Fashion Modelling, Fitness and Wellness, Investing and Finance, Data Science"
172,18-24,Male,Suburban,English,Technical,2040,391,Mobile Only,4.4,1.9,0.205,0.049,35,20k-40k,"Reading and Literature, Gourmet Cooking"
173,35-44,Female,Urban,English,PhD,5114,488,Desktop Only,2.4,5.3,0.16,0.049,10,40k-60k,"Travel and Adventure, Fitness and Wellness, Photography, Digital Marketing"
174,25-34,Male,Urban,English,Master,1982,248,Desktop Only,3.6,5.7,0.078,0.054,161,20k-40k,Software Engineering
175,45-54,Female,Suburban,Spanish,Technical,5008,424,Tablet,1.7,6.4,0.164,0.026,71,20k-40k,"Pet Care, Software Engineering, Music Production"
176,25-34,Male,Suburban,Spanish,Master,3087,376,Desktop Only,5,4.9,0.053,0.037,135,80k-100k,Gaming
177,45-54,Female,Suburban,Hindi,High School,5685,177,Mobile + Desktop,1.3,5.5,0.08,0.043,160,0-20k,"Music Production, Gaming"
178,25-34,Female,Urban,Mandarin,High School,3259,57,Mobile Only,0.5,1.1,0.06,0.013,78,80k-100k,"Photography, Fashion Modelling"
179,55-64,Male,Rural,English,High School,4630,60,Mobile Only,1.2,2.1,0.139,0.046,118,0-20k,"Fashion Modelling, Software Engineering"
180,18-24,Male,Rural,English,Master,781,308,Mobile Only,4,7.9,0.027,0.081,101,40k-60k,"Gardening, Software Engineering, Gaming"
181,25-34,Female,Suburban,Mandarin,Technical,5354,107,Desktop Only,2.5,1.5,0.233,0.083,84,20k-40k,Pet Care
182,18-24,Female,Rural,Mandarin,High School,1173,448,Mobile Only,2.5,5.8,0.083,0.041,127,0-20k,"Pet Care, DIY Crafts, Digital Marketing"
183,55-64,Male,Suburban,Hindi,Technical,2487,225,Mobile Only,4.8,2.2,0.055,0.052,142,0-20k,Reading and Literature
184,55-64,Female,Urban,Mandarin,Master,2793,186,Mobile Only,4.6,6,0.124,0.003,37,80k-100k,"Investing and Finance, Gaming, Music Production, Data Science"
185,25-34,Female,Rural,English,Technical,9662,389,Tablet,1.9,5.9,0.069,0.067,144,60k-80k,"Gardening, Gaming, Pet Care"
186,45-54,Female,Urban,English,Master,4440,483,Tablet,1.4,2.6,0.134,0.04,48,0-20k,"Travel and Adventure, Investing and Finance, Gourmet Cooking, Digital Marketing"
187,55-64,Male,Rural,English,Master,2256,89,Desktop Only,4.3,2.9,0.087,0.045,17,80k-100k,Software Engineering
188,35-44,Female,Urban,English,PhD,8066,194,Mobile Only,4.6,5.6,0.033,0.087,156,60k-80k,"Reading and Literature, Music Production, Fashion Modelling, Investing and Finance"
189,35-44,Female,Rural,English,Master,2680,376,Desktop Only,2.9,3.7,0.066,0.046,176,100k+,"Digital Marketing, Software Engineering, Gardening"
190,25-34,Female,Urban,Hindi,Master,7357,470,Mobile Only,3.3,2.4,0.11,0.002,61,100k+,"Pet Care, Fitness and Wellness"
191,18-24,Female,Urban,English,Bachelor,2259,408,Mobile Only,1.7,6.1,0.008,0.023,100,60k-80k,"Eco-Friendly Living, Photography, Gourmet Cooking, Software Engineering"
192,55-64,Male,Rural,Hindi,High School,6872,36,Mobile Only,4.1,2.1,0.193,0.048,148,20k-40k,DIY Crafts
193,55-64,Female,Urban,English,PhD,1727,461,Desktop Only,3.3,7,0.155,0.042,113,100k+,"Pet Care, Music Production, Gardening, Digital Marketing"
194,45-54,Female,Urban,Spanish,PhD,8319,473,Desktop Only,2.8,4.6,0.15,0.086,124,100k+,"Fitness and Wellness, Music Production, Gourmet Cooking, Gaming"
195,25-34,Male,Urban,Spanish,PhD,7180,457,Mobile Only,0.8,1.7,0.137,0.054,104,20k-40k,"Pet Care, Fitness and Wellness"
196,25-34,Female,Rural,Spanish,Bachelor,2085,487,Mobile + Desktop,4.6,5.9,0.148,0.069,153,0-20k,"Investing and Finance, Pet Care, Data Science"
197,45-54,Female,Rural,Spanish,Master,9813,423,Desktop Only,3.3,4.6,0.234,0.047,115,60k-80k,Digital Marketing
198,55-64,Female,Urban,Hindi,High School,8588,429,Tablet,1.4,3.1,0.002,0.044,55,60k-80k,"Eco-Friendly Living, Gourmet Cooking, Gardening"
199,55-64,Female,Urban,Hindi,Technical,2281,204,Desktop Only,3.2,4,0.012,0.045,25,40k-60k,"Fashion Modelling, Fitness and Wellness, Data Science"
200,45-54,Female,Rural,Mandarin,Master,2396,223,Mobile Only,3.5,3.1,0.048,0.041,64,0-20k,"Reading and Literature, Fitness and Wellness, Digital Marketing, Pet Care"
201,45-54,Female,Rural,English,Bachelor,7264,378,Mobile + Desktop,2.9,2.8,0.042,0.054,25,80k-100k,"Music Production, Gardening"
202,18-24,Male,Urban,Spanish,Master,2697,351,Mobile Only,3.7,2.1,0.045,0.025,111,80k-100k,"Fashion Modelling, Gardening, Music Production, Data Science"
203,25-34,Male,Urban,Hindi,Master,1001,123,Tablet,3.1,3.5,0.168,0.089,130,40k-60k,"Investing and Finance, Music Production"
204,55-64,Female,Urban,English,Bachelor,6160,251,Desktop Only,4.8,2.8,0.115,0.033,138,20k-40k,"Reading and Literature, Software Engineering, Fitness and Wellness, Digital Marketing"
205,45-54,Male,Suburban,English,PhD,9390,133,Desktop Only,0.7,5.8,0.248,0.015,77,80k-100k,"Music Production, Gardening"
206,18-24,Male,Rural,Hindi,PhD,1777,314,Mobile Only,1,5.8,0.057,0.01,80,60k-80k,"Music Production, Gardening, Fashion Modelling"
207,18-24,Male,Suburban,Spanish,High School,2981,85,Mobile Only,1.3,4.5,0.078,0.001,82,100k+,"DIY Crafts, Gardening, Photography"
208,45-54,Female,Rural,Mandarin,High School,5722,320,Tablet,3.6,6.4,0.246,0.042,138,80k-100k,"Gaming, Photography"
209,18-24,Female,Rural,English,PhD,8152,478,Mobile + Desktop,3.4,6.9,0.208,0.019,69,0-20k,Music Production
210,25-34,Female,Rural,Mandarin,Technical,1478,321,Tablet,4.5,5.1,0.117,0.002,90,20k-40k,Reading and Literature
211,35-44,Male,Rural,Spanish,Master,1348,205,Mobile + Desktop,3.8,5.3,0.139,0.052,38,80k-100k,Digital Marketing
212,45-54,Male,Rural,Spanish,Technical,5750,360,Desktop Only,2.8,3,0.211,0.068,60,40k-60k,"Gourmet Cooking, Photography, Eco-Friendly Living"
213,45-54,Male,Rural,Mandarin,Master,6179,53,Mobile + Desktop,5,7.3,0.12,0.009,79,0-20k,"Reading and Literature, Gourmet Cooking, Investing and Finance, Fitness and Wellness"
214,25-34,Male,Rural,Spanish,PhD,9556,424,Mobile + Desktop,1.7,1.2,0.052,0.046,7,100k+,Software Engineering
215,45-54,Male,Suburban,English,High School,7136,195,Desktop Only,4.2,3.4,0.207,0.074,174,0-20k,"Digital Marketing, DIY Crafts"
216,25-34,Female,Urban,Mandarin,High School,6587,352,Desktop Only,2.4,6.1,0.134,0.099,10,0-20k,"Fitness and Wellness, Gaming, Digital Marketing, Pet Care"
217,25-34,Female,Urban,Spanish,Technical,1158,255,Desktop Only,3.4,1.6,0.038,0.067,10,0-20k,"Photography, Software Engineering"
218,45-54,Female,Suburban,Mandarin,High School,2148,446,Tablet,3.8,2.3,0.126,0.024,152,80k-100k,"Fitness and Wellness, Data Science, Eco-Friendly Living"
219,45-54,Female,Suburban,English,PhD,6215,93,Desktop Only,3.4,5.1,0.103,0.072,153,60k-80k,"Fashion Modelling, Data Science"
220,55-64,Male,Suburban,Spanish,Technical,4348,216,Mobile Only,1.1,4.9,0.219,0.06,6,60k-80k,Investing and Finance
221,45-54,Male,Suburban,English,Master,2576,160,Desktop Only,2.5,6.2,0.032,0.021,94,60k-80k,"Photography, Music Production, Gardening, Digital Marketing"
222,35-44,Female,Rural,Spanish,High School,4703,165,Desktop Only,3,6.7,0.219,0.085,60,0-20k,"Gardening, DIY Crafts, Fashion Modelling, Pet Care"
223,18-24,Male,Urban,Hindi,Bachelor,3653,25,Desktop Only,4.3,1.9,0.128,0.043,100,80k-100k,Software Engineering
224,25-34,Female,Rural,Spanish,High School,320,174,Mobile + Desktop,2.5,1.1,0.101,0.096,14,0-20k,Gaming
225,25-34,Female,Urban,Mandarin,Master,4918,414,Tablet,4.6,5.8,0.04,0.072,91,40k-60k,"Travel and Adventure, Eco-Friendly Living, Data Science"
226,25-34,Female,Urban,Spanish,Technical,7292,472,Desktop Only,2.5,3.1,0.175,0.064,74,60k-80k,"Software Engineering, Data Science, Travel and Adventure"
227,65+,Male,Suburban,English,Master,4723,154,Tablet,3,5.4,0.232,0.073,155,100k+,Gaming
228,25-34,Female,Rural,English,Bachelor,7449,46,Mobile Only,4.1,2.1,0.094,0.048,117,0-20k,"Gardening, Investing and Finance, Fitness and Wellness"
229,55-64,Female,Suburban,Spanish,PhD,5718,342,Mobile Only,3.1,4.3,0.06,0.051,34,60k-80k,"Data Science, Fitness and Wellness, Eco-Friendly Living"
230,45-54,Female,Rural,Mandarin,High School,9956,412,Desktop Only,4.8,4.5,0.139,0.085,132,80k-100k,"Software Engineering, Data Science, Fashion Modelling, Travel and Adventure"
231,45-54,Female,Urban,Hindi,Technical,7309,423,Mobile Only,3.5,5.1,0.199,0.068,82,0-20k,"Travel and Adventure, Music Production, Fashion Modelling, Gourmet Cooking"
232,35-44,Male,Suburban,Mandarin,PhD,4676,54,Tablet,2.9,4.6,0.001,0.09,169,0-20k,Reading and Literature
233,35-44,Male,Suburban,Hindi,Master,1971,411,Mobile + Desktop,0.6,4.5,0.158,0.089,59,40k-60k,"Pet Care, Fitness and Wellness, Investing and Finance"
234,35-44,Male,Urban,English,Technical,8015,215,Desktop Only,2.4,3.3,0.149,0.098,53,40k-60k,"Gourmet Cooking, Music Production, Data Science, Fashion Modelling"
235,25-34,Female,Urban,Mandarin,PhD,1562,71,Mobile Only,1.8,1.5,0.08,0.07,38,0-20k,"Digital Marketing, Eco-Friendly Living, Gardening"
236,45-54,Female,Urban,Hindi,Technical,5621,429,Tablet,3.9,1.6,0.113,0.05,109,0-20k,Gardening
237,25-34,Female,Suburban,Spanish,Bachelor,8636,365,Tablet,1.4,4,0.062,0.017,176,40k-60k,"Fitness and Wellness, Gardening"
238,18-24,Female,Rural,English,Bachelor,8336,477,Mobile Only,1.4,3.5,0.197,0.071,26,0-20k,"Gaming, Reading and Literature, Travel and Adventure, Software Engineering"
239,45-54,Male,Suburban,Spanish,High School,7913,317,Tablet,1.4,4.6,0.159,0.029,35,60k-80k,"Investing and Finance, Data Science, Software Engineering"
240,25-34,Male,Rural,English,High School,2168,28,Tablet,1.1,3.1,0.133,0.028,139,20k-40k,"Gourmet Cooking, Pet Care, Eco-Friendly Living"
241,55-64,Male,Suburban,Mandarin,Bachelor,5853,374,Desktop Only,1.9,5.8,0.098,0.024,109,60k-80k,"Fitness and Wellness, Photography, Investing and Finance, Software Engineering"
242,65+,Male,Suburban,Mandarin,Technical,7337,309,Tablet,4.5,7,0.073,0.088,153,80k-100k,"Music Production, Software Engineering"
243,55-64,Male,Urban,English,Bachelor,7116,16,Mobile Only,4,3.1,0.206,0.087,20,40k-60k,"Photography, Fitness and Wellness, Pet Care"
244,25-34,Male,Rural,English,High School,6291,258,Desktop Only,3.8,2.4,0.113,0.063,24,40k-60k,"Fitness and Wellness, DIY Crafts, Music Production"
245,18-24,Female,Suburban,English,Bachelor,1614,437,Mobile Only,4.1,1.8,0.125,0.047,47,80k-100k,DIY Crafts
246,55-64,Female,Suburban,Mandarin,Bachelor,2698,126,Mobile + Desktop,1.7,5.3,0.13,0.067,176,0-20k,Photography
247,35-44,Male,Urban,Hindi,Technical,1101,77,Mobile Only,4.5,4.1,0.112,0.061,51,100k+,"DIY Crafts, Gourmet Cooking, Music Production"
248,65+,Female,Urban,Spanish,PhD,1133,43,Mobile Only,1.1,2.3,0.064,0.042,118,40k-60k,"Gourmet Cooking, Digital Marketing, Music Production, DIY Crafts"
249,65+,Male,Rural,Spanish,High School,6999,203,Desktop Only,2,5.6,0.03,0.038,23,20k-40k,"Digital Marketing, Photography, Gardening, DIY Crafts"
250,55-64,Male,Suburban,Mandarin,Technical,8565,334,Tablet,3.1,2,0.025,0.038,52,80k-100k,"Digital Marketing, Data Science, Eco-Friendly Living"
251,25-34,Female,Rural,Spanish,Bachelor,5151,64,Mobile Only,1,4.9,0.189,0.059,143,20k-40k,Gourmet Cooking
252,25-34,Female,Suburban,English,Bachelor,4576,275,Desktop Only,3.8,4.7,0.056,0.065,161,0-20k,"Gaming, Fitness and Wellness, Digital Marketing, Music Production"
253,55-64,Female,Rural,Hindi,PhD,578,489,Mobile + Desktop,2.2,6.1,0.014,0.045,49,100k+,Investing and Finance
254,25-34,Male,Urban,Spanish,High School,615,51,Desktop Only,4,1.4,0.199,0.097,168,20k-40k,"Photography, Software Engineering, DIY Crafts, Pet Care"
255,25-34,Male,Suburban,Hindi,High School,1291,306,Desktop Only,2.7,7.2,0.039,0.008,91,100k+,"Music Production, Gaming"
256,35-44,Male,Rural,English,Master,6397,470,Tablet,1.3,5.9,0.156,0.035,19,60k-80k,"Gaming, Fashion Modelling, Gardening"
257,55-64,Male,Urban,Spanish,High School,9703,240,Mobile Only,3.8,2.5,0.085,0.042,114,20k-40k,"Music Production, Fashion Modelling"
258,45-54,Male,Urban,Mandarin,PhD,371,462,Mobile + Desktop,1.6,2.3,0.032,0.002,176,40k-60k,"Digital Marketing, Gaming, Reading and Literature, Fashion Modelling"
259,35-44,Female,Rural,Hindi,Master,8434,387,Desktop Only,2.7,4,0.104,0.036,100,40k-60k,"DIY Crafts, Photography"
260,18-24,Male,Suburban,English,Master,7878,403,Mobile Only,0.8,6.7,0.004,0.027,172,20k-40k,"Data Science, Software Engineering"
261,45-54,Female,Suburban,Hindi,Bachelor,6108,19,Mobile Only,3.3,6.9,0.21,0.051,106,100k+,"Fitness and Wellness, Gaming, Investing and Finance, Travel and Adventure"
262,65+,Female,Urban,Spanish,Bachelor,8087,367,Desktop Only,3.5,4.6,0.128,0.034,90,20k-40k,Data Science
263,18-24,Female,Suburban,Spanish,High School,3432,484,Mobile Only,2.2,7,0.035,0.073,146,60k-80k,"Travel and Adventure, Fashion Modelling"
264,35-44,Male,Suburban,Mandarin,Master,887,453,Desktop Only,4.8,1,0.059,0.051,85,60k-80k,Photography
265,55-64,Female,Suburban,English,Bachelor,6322,137,Desktop Only,4.4,1.2,0.112,0.013,55,80k-100k,Pet Care
266,45-54,Female,Urban,English,PhD,9973,188,Desktop Only,3.7,7.4,0.047,0.075,116,0-20k,Pet Care
267,45-54,Female,Rural,Mandarin,Bachelor,722,414,Mobile + Desktop,3.7,6.4,0.067,0.01,19,60k-80k,"Pet Care, Gaming"
268,45-54,Male,Suburban,Mandarin,Bachelor,3941,401,Desktop Only,1.6,4.2,0.134,0.084,69,60k-80k,"Fashion Modelling, DIY Crafts, Digital Marketing"
269,25-34,Female,Urban,English,Master,3776,202,Tablet,3.5,6.3,0.208,0.093,92,60k-80k,"Fashion Modelling, Investing and Finance, Eco-Friendly Living"
270,25-34,Male,Urban,Hindi,Master,2672,101,Mobile Only,1.4,7.7,0.1,0.032,80,100k+,"Fitness and Wellness, Data Science"
271,55-64,Female,Rural,Hindi,Technical,7015,378,Mobile + Desktop,1.1,6.4,0.179,0.093,14,40k-60k,"Eco-Friendly Living, Fashion Modelling"
272,55-64,Male,Suburban,Mandarin,PhD,5133,240,Mobile Only,5,6.9,0.219,0.079,46,40k-60k,"Investing and Finance, Digital Marketing"
273,55-64,Female,Suburban,Hindi,Master,7888,87,Mobile + Desktop,3.3,6.3,0.054,0.092,99,0-20k,"Travel and Adventure, Data Science"
274,55-64,Female,Rural,English,High School,5314,94,Tablet,2.4,2.2,0.202,0.067,15,20k-40k,"Gardening, Travel and Adventure, Gaming, Investing and Finance"
275,35-44,Male,Rural,Spanish,PhD,4812,39,Mobile + Desktop,1.8,6.8,0.189,0.024,122,60k-80k,"DIY Crafts, Music Production, Travel and Adventure"
276,35-44,Male,Urban,Spanish,PhD,166,222,Mobile + Desktop,3.2,2.4,0.089,0.089,148,60k-80k,Investing and Finance
277,45-54,Male,Urban,Hindi,Master,7633,58,Mobile + Desktop,0.7,7.2,0.247,0.018,129,20k-40k,"Eco-Friendly Living, Fitness and Wellness, Investing and Finance"
278,45-54,Female,Rural,Mandarin,PhD,4716,274,Mobile Only,0.9,4.2,0.066,0.021,82,80k-100k,"Data Science, Digital Marketing, Photography"
279,45-54,Female,Suburban,Mandarin,Master,1240,154,Desktop Only,0.6,5.7,0.064,0.027,151,100k+,"Gourmet Cooking, Investing and Finance, Photography"
280,45-54,Male,Urban,Mandarin,Bachelor,5830,78,Mobile Only,2.7,4.5,0.193,0.03,163,100k+,"Data Science, Digital Marketing, Gardening"
281,55-64,Male,Urban,Mandarin,Technical,7565,67,Desktop Only,3.2,1.7,0.109,0.051,94,80k-100k,"Music Production, Investing and Finance"
282,25-34,Female,Suburban,Mandarin,Bachelor,9479,194,Mobile Only,0.8,3,0.083,0.071,12,80k-100k,Software Engineering
283,25-34,Female,Urban,Hindi,Master,4571,71,Tablet,3.7,7.9,0.045,0.093,156,100k+,"Fashion Modelling, DIY Crafts, Travel and Adventure, Gourmet Cooking"
284,18-24,Female,Suburban,Spanish,Master,3439,488,Tablet,1.5,7.7,0.191,0.009,140,80k-100k,"Fashion Modelling, Photography, Digital Marketing, Eco-Friendly Living"
285,35-44,Female,Suburban,Spanish,Bachelor,648,317,Mobile + Desktop,3.6,3.2,0.197,0.095,115,80k-100k,"Fitness and Wellness, Data Science, DIY Crafts"
286,18-24,Female,Suburban,Hindi,High School,7775,454,Tablet,4.9,8,0.142,0.092,162,20k-40k,"Fitness and Wellness, Investing and Finance, Reading and Literature, Gardening"
287,35-44,Male,Rural,Mandarin,High School,8364,305,Mobile + Desktop,3.6,6.9,0.239,0.005,62,80k-100k,"Fashion Modelling, Gourmet Cooking, Investing and Finance, Reading and Literature"
288,35-44,Male,Rural,Hindi,High School,298,175,Desktop Only,4.5,5.3,0.08,0.036,90,100k+,"Travel and Adventure, Software Engineering"
289,25-34,Female,Rural,Spanish,Master,671,180,Tablet,4.8,1.3,0.055,0.081,59,80k-100k,"Music Production, Gardening"
290,35-44,Female,Suburban,English,PhD,890,72,Desktop Only,2.7,7.3,0.169,0.061,126,60k-80k,"Gourmet Cooking, Photography, Music Production"
291,18-24,Male,Suburban,Hindi,Master,9930,156,Mobile Only,3.7,4.9,0.19,0.078,112,20k-40k,"Gardening, Digital Marketing, Travel and Adventure"
292,18-24,Female,Rural,Mandarin,PhD,1274,493,Desktop Only,4.3,7.1,0.056,0.072,52,0-20k,"Investing and Finance, Gaming, Digital Marketing"
293,55-64,Male,Urban,Spanish,Bachelor,278,315,Mobile Only,2.1,6.8,0.019,0.05,136,20k-40k,"DIY Crafts, Pet Care, Eco-Friendly Living, Gourmet Cooking"
294,25-34,Female,Suburban,Spanish,Technical,2344,170,Desktop Only,1.7,6.8,0.203,0.004,169,80k-100k,"DIY Crafts, Gourmet Cooking"
295,18-24,Female,Urban,Spanish,PhD,4186,150,Desktop Only,4.8,5.9,0.244,0.058,140,80k-100k,"Gaming, Pet Care"
296,35-44,Male,Urban,Spanish,High School,834,343,Tablet,3.8,3,0.161,0.005,133,40k-60k,"Digital Marketing, Pet Care, Travel and Adventure, Gaming"
297,45-54,Male,Suburban,Mandarin,Master,6332,106,Desktop Only,1.5,3.4,0.069,0.06,51,20k-40k,Investing and Finance
298,25-34,Male,Suburban,English,Bachelor,898,455,Tablet,2.5,3.2,0.249,0.08,9,100k+,"Data Science, Fitness and Wellness, Pet Care, Gaming"
299,45-54,Male,Urban,Spanish,High School,7701,230,Tablet,4.1,1.1,0.223,0.058,28,0-20k,Reading and Literature
300,18-24,Female,Urban,Hindi,Bachelor,9079,52,Mobile + Desktop,3,5.1,0.128,0.1,179,40k-60k,Photography
301,18-24,Male,Rural,English,Technical,2895,442,Mobile + Desktop,3.4,5.9,0.206,0.046,22,40k-60k,Pet Care
302,35-44,Male,Rural,Spanish,Master,4688,301,Mobile Only,3.9,7,0.204,0.075,88,40k-60k,Investing and Finance
303,35-44,Male,Suburban,English,Master,7397,387,Desktop Only,3.3,2,0.234,0.067,160,20k-40k,"Fashion Modelling, Pet Care"
304,45-54,Female,Rural,Hindi,Technical,3184,117,Mobile Only,2.9,4.8,0.21,0.099,9,80k-100k,"Reading and Literature, Gaming, Photography, Travel and Adventure"
305,45-54,Female,Rural,Spanish,Master,831,275,Desktop Only,3.9,1.1,0.161,0.071,34,100k+,"Music Production, Fashion Modelling, Pet Care, Gaming"
306,65+,Female,Rural,Hindi,PhD,1229,104,Mobile + Desktop,3.8,1.7,0.152,0.016,5,40k-60k,"Gourmet Cooking, Fitness and Wellness, Software Engineering, Data Science"
307,35-44,Female,Rural,Mandarin,Bachelor,1705,271,Mobile + Desktop,3.3,1.4,0.117,0.096,90,80k-100k,"Fitness and Wellness, Music Production"
308,25-34,Male,Urban,Spanish,High School,3033,322,Desktop Only,2.1,6.1,0.157,0.067,86,40k-60k,"Digital Marketing, Travel and Adventure, DIY Crafts, Eco-Friendly Living"
309,45-54,Female,Suburban,Spanish,Technical,9507,394,Desktop Only,2.3,1.6,0.199,0.006,178,20k-40k,"Software Engineering, Gaming, Music Production, DIY Crafts"
310,25-34,Male,Rural,Spanish,PhD,8616,80,Mobile + Desktop,4.9,6,0.242,0.066,73,40k-60k,Photography
311,35-44,Male,Urban,Spanish,High School,5174,451,Mobile + Desktop,1,2.7,0.117,0.088,35,0-20k,Gaming
312,18-24,Female,Urban,Mandarin,High School,7199,228,Mobile Only,1.7,7.1,0.143,0.058,95,60k-80k,Software Engineering
313,18-24,Female,Urban,Spanish,Technical,1590,30,Mobile + Desktop,2.7,6.7,0.111,0.035,97,100k+,Gaming
314,65+,Male,Rural,English,PhD,993,101,Desktop Only,4.3,7.7,0.167,0.082,131,100k+,"Reading and Literature, Fitness and Wellness, Music Production"
315,55-64,Female,Rural,Spanish,High School,1490,136,Mobile Only,1.2,7.2,0.157,0.078,160,40k-60k,"Fashion Modelling, Digital Marketing"
316,45-54,Male,Suburban,Mandarin,High School,3489,89,Desktop Only,1.7,7.5,0.004,0.054,20,100k+,Travel and Adventure
317,35-44,Male,Rural,Spanish,PhD,4339,321,Tablet,0.8,7,0.135,0.015,58,80k-100k,"Investing and Finance, Fashion Modelling"
318,25-34,Female,Rural,English,Master,4579,247,Mobile Only,3.7,5.9,0.022,0.025,144,80k-100k,"Investing and Finance, Photography"
319,25-34,Female,Urban,Mandarin,High School,2363,480,Desktop Only,1.6,2.2,0.007,0.074,24,0-20k,"Fashion Modelling, Pet Care"
320,25-34,Male,Suburban,Mandarin,Bachelor,3532,381,Mobile + Desktop,2.2,2.9,0.198,0.081,86,80k-100k,"Music Production, DIY Crafts, Gaming"
321,35-44,Female,Rural,English,PhD,2471,413,Tablet,2.5,2.5,0.065,0.028,166,0-20k,"Reading and Literature, Investing and Finance"
322,45-54,Male,Rural,English,High School,4412,495,Desktop Only,4.5,5.2,0.085,0.037,155,40k-60k,"Software Engineering, Data Science, Eco-Friendly Living, Investing and Finance"
323,45-54,Male,Urban,English,Technical,1615,191,Mobile Only,2.4,4.5,0.016,0.008,113,100k+,"Fitness and Wellness, Digital Marketing"
